reviewId,userName,content,score,thumbsUpCount,at,appVersion,category,model_used,sub_cluster,theme
e0bac6d9-6abb-4130-86f7-6609b3e49c77,Sunasa,received wrong order and no replacement provided....only coupon was generated for half the money....worst service and one item was also missing.....,1,0,2026-08-31 11:36:31,4.110.0,delivery_problem,gemini-3.5-flash-lite,0,General order quality issues / no resolution offered
9a381eae-a703-45d6-a435-9cd2ca81c2e7,Tijo Tom,"Appalling experience with Swiggy and Kanthari Restaurant! Ordered lunch for my family—including my sick mother and young children—only to receive one Chicken Dum Biryani instead of the two paid for, leaving my wife with no food. This is the second time Swiggy has missed items in my order. Careless, incompetent, and deeply unprofessional service. Leaving family members hungry is unacceptable. Demanding an immediate refund for the missing item and compensation for the distress caused.",1,0,2026-08-31 10:27:17,4.115.1,delivery_problem,gemini-3.5-flash-lite,2,Wrong or incomplete item delivered
1b0460bc-192a-460e-be5d-e98a13b7d0eb,shahalam malik,worst app for food experienced late delivery every time,1,0,2026-08-31 10:03:51,4.115.1,delivery_problem,gemini-3.6-flash,5,Late delivery — order arrives significantly past promised time
7be4a290-dae1-41a2-a6d8-d553a6a133cf,Ambuj Raj,garbage app.. I ordered 230 and they didn't give me free sugar,1,0,2026-08-31 09:21:34,4.115.0,delivery_problem,gemini-3.5-flash-lite,0,General order quality issues / no resolution offered
9e568e55-bc19-47f0-9546-f36f101af25b,Vineeta Rathore,my experience is very bad I clearly ordered 1 bpm and 5 tandoori roti but when I recieved order I got only 2 tandoori roti and I paid for 5 roti and also my issue not solved by Swiggy 😡,1,0,2026-08-31 09:13:31,,delivery_problem,gemini-3.5-flash-lite,2,Wrong or incomplete item delivered
0b5fdc38-93f5-47ea-b837-8d3f028b550c,Anwar Android,huge late my food coming,1,0,2026-08-31 08:53:13,4.115.1,delivery_problem,gemini-3.5-flash-lite,5,Late delivery — order arrives significantly past promised time
ba79670c-16be-411f-b1d9-56a35dbae603,sahil gupta,very poor service no time order,1,0,2026-08-31 08:33:20,4.115.1,delivery_problem,gemini-3.5-flash-lite,0,General order quality issues / no resolution offered
8c21e874-49ac-4728-a4ab-791a0654687b,Sima Rani Deka,cancels order after waiting for 40 mins,2,0,2026-08-31 08:30:03,4.103.4,delivery_problem,gemini-3.5-flash-lite,0,General order quality issues / no resolution offered
29bd7554-2605-4042-ac56-782a9037372d,"Dr, Rajashekar S.M.","This is DR RAJASHEKAR SM , ordered and received Orchid flower Bouquet on 29/8/26 at the cost of 814 Rs , but it was very worst and in the condition of wither . Don't try to cheat the customer, shame on you.",1,0,2026-08-31 06:11:30,4.115.1,delivery_problem,gemini-3.5-flash-lite,2,Wrong or incomplete item delivered
792f358e-981d-4a8d-b007-c0f1305541e7,Aayush Sagare,delivery not came at exact address,3,0,2026-08-31 06:07:34,,delivery_problem,gemini-3.5-flash-lite,1,Delivery delays attributed to slow/unavailable delivery partners
4cca7a9f-7c01-48c0-a666-27c15de8017b,Lakshathi,"The delivery of our food orders consistently experiences delays of two hours, without adequate communication or updates, resulting in an unsatisfactory service experience.",1,0,2026-08-31 05:45:46,,delivery_problem,gemini-3.5-flash-lite,1,Delivery delays attributed to slow/unavailable delivery partners
2e33a01f-bec5-4c94-a07d-5d504f6aab98,Inflected Player,sabse ghatiya hai.. 3 min bol bol ke 30 min wait karvate hai.. inke paas delivery partners hai bhi ya nahi pata nahi ... restaurant wale bhi inse frustrated hai bol rahe ki zomato se order karna Swiggy se mat karna,1,0,2026-08-31 04:56:20,4.115.1,delivery_problem,gemini-3.5-flash-lite,1,Delivery delays attributed to slow/unavailable delivery partners
427c8ff3-b8ef-4068-8a0d-081e33184766,Samyajit Chakraverty,Food delivered is not of accepted quality as compared to what is offered at major restaurant outlets.,3,0,2026-08-31 02:32:26,4.110.1,delivery_problem,gemini-3.5-flash-lite,0,General order quality issues / no resolution offered
0b7cdd9c-ad5e-4eab-add4-68196e1fc0cc,Ravi kumar,"⭐ 1/5 Very disappointing experience with Swiggy. They advertise branded products but, in my experience, delivered a copy/low-quality product instead of the genuine branded item. When I complained, there was no proper resolution. This feels like a serious breach of customer trust.",1,0,2026-08-30 20:18:47,4.113.4,delivery_problem,gemini-3.5-flash-lite,0,General order quality issues / no resolution offered
b40b3aef-c3fa-4828-886c-e54b9c296b81,Sachin Kumar verma,till now I was loyal customer of Swiggy. but there customer support are sucks . and they are not able to deliver your at you.,1,0,2026-08-30 20:05:51,4.115.1,delivery_problem,gemini-3.5-flash-lite,4,Restaurant/delivery network unable to fulfill orders on time
94a33ebb-717f-48b4-84b5-736a04e2a5bf,KUL BHUSHAN,"You guys better shut down this app. You guys don't have proper delivery network ,literally taking 1hr for a 1 km delivery and neither you guys have a proper customer care. Worst app. Its a mistake ordering from your app.",1,0,2026-08-30 18:20:48,4.115.1,delivery_problem,gemini-3.5-flash-lite,4,Restaurant/delivery network unable to fulfill orders on time
